Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind,Gust
2010-01-01,00:00,Clear,25 °c,"0.0
mm",21%,1010 mb,15 km/h,27 km/h
2010-01-01,03:00,Clear,25 °c,"0.0
mm",22%,1009 mb,16 km/h,29 km/h
2010-01-01,06:00,Partly cloudy,25 °c,"0.0
mm",28%,1010 mb,18 km/h,29 km/h
2010-01-01,09:00,Partly cloudy,28 °c,"0.0
mm",28%,1011 mb,22 km/h,33 km/h
2010-01-01,12:00,Partly cloudy,30 °c,"0.0
mm",28%,1010 mb,23 km/h,42 km/h
2010-01-01,15:00,Sunny,30 °c,"0.0
mm",24%,1008 mb,23 km/h,33 km/h
2010-01-01,18:00,Clear,26 °c,"0.0
mm",16%,1009 mb,19 km/h,32 km/h
2010-01-01,21:00,Clear,26 °c,"0.0
mm",21%,1010 mb,20 km/h,34 km/h
2010-01-01,00:00,Partly cloudy,24 °c,"0.0
mm",52%,1013 mb,14 km/h,26 km/h
2010-01-01,03:00,Partly cloudy,24 °c,"0.0
mm",58%,1012 mb,14 km/h,26 km/h
2010-01-01,06:00,Cloudy,24 °c,"0.0
mm",68%,1013 mb,14 km/h,23 km/h
2010-01-01,09:00,Partly cloudy,25 °c,"0.0
mm",54%,1014 mb,14 km/h,33 km/h
2010-01-01,12:00,Partly cloudy,28 °c,"0.0
mm",47%,1012 mb,17 km/h,31 km/h
2010-01-01,15:00,Partly cloudy,28 °c,"0.0
mm",30%,1010 mb,14 km/h,27 km/h
2010-01-01,18:00,Partly cloudy,26 °c,"0.0
mm",26%,1011 mb,14 km/h,25 km/h
2010-01-01,21:00,Clear,26 °c,"0.0
mm",24%,1013 mb,15 km/h,27 km/h
2010-01-01,00:00,Cloudy,24 °c,"0.0
mm",77%,1010 mb,15 km/h,30 km/h
2010-01-01,03:00,Overcast,23 °c,"0.0
mm",100%,1009 mb,16 km/h,25 km/h
2010-01-01,06:00,Patchy rain possible,22 °c,"0.2
mm",100%,1010 mb,15 km/h,23 km/h
2010-01-01,09:00,Overcast,24 °c,"0.0
mm",99%,1011 mb,19 km/h,27 km/h
2010-01-01,12:00,Cloudy,27 °c,"0.0
mm",73%,1009 mb,21 km/h,38 km/h
2010-01-01,15:00,Patchy rain possible,27 °c,"0.3
mm",89%,1008 mb,22 km/h,45 km/h
2010-01-01,18:00,Clear,24 °c,"0.0
mm",20%,1010 mb,14 km/h,35 km/h
2010-01-01,21:00,Cloudy,24 °c,"0.0
mm",65%,1012 mb,14 km/h,28 km/h
2010-01-02,00:00,Clear,26 °c,"0.0
mm",22%,1010 mb,21 km/h,35 km/h
2010-01-02,03:00,Partly cloudy,25 °c,"0.0
mm",36%,1009 mb,20 km/h,33 km/h
2010-01-02,06:00,Partly cloudy,26 °c,"0.0
mm",34%,1010 mb,18 km/h,30 km/h
2010-01-02,09:00,Cloudy,27 °c,"0.0
mm",74%,1012 mb,21 km/h,33 km/h
2010-01-02,12:00,Cloudy,29 °c,"0.0
mm",66%,1010 mb,26 km/h,41 km/h
2010-01-02,15:00,Partly cloudy,30 °c,"0.0
mm",57%,1008 mb,27 km/h,39 km/h
2010-01-02,18:00,Partly cloudy,27 °c,"0.0
mm",32%,1010 mb,21 km/h,34 km/h
2010-01-02,21:00,Cloudy,27 °c,"0.0
mm",74%,1012 mb,20 km/h,32 km/h
2010-01-02,00:00,Cloudy,25 °c,"0.0
mm",81%,1013 mb,19 km/h,33 km/h
2010-01-02,03:00,Clear,24 °c,"0.0
mm",17%,1012 mb,17 km/h,30 km/h
2010-01-02,06:00,Sunny,25 °c,"0.0
mm",21%,1013 mb,14 km/h,22 km/h
2010-01-02,09:00,Sunny,29 °c,"0.0
mm",23%,1014 mb,21 km/h,36 km/h
