Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind,Gust
2010-01-01,00:00,Clear,23 °c,"0.0
mm",23%,1012 mb,15 km/h,23 km/h
2010-01-01,03:00,Partly cloudy,23 °c,"0.0
mm",31%,1012 mb,14 km/h,21 km/h
2010-01-01,06:00,Partly cloudy,23 °c,"0.0
mm",39%,1013 mb,13 km/h,18 km/h
2010-01-01,09:00,Sunny,25 °c,"0.0
mm",15%,1014 mb,16 km/h,20 km/h
2010-01-01,12:00,Sunny,27 °c,"0.0
mm",6%,1012 mb,17 km/h,26 km/h
2010-01-01,15:00,Sunny,26 °c,"0.0
mm",9%,1011 mb,13 km/h,29 km/h
2010-01-01,18:00,Clear,23 °c,"0.0
mm",9%,1012 mb,11 km/h,21 km/h
2010-01-01,21:00,Clear,22 °c,"0.0
mm",7%,1013 mb,11 km/h,21 km/h
2010-01-02,00:00,Clear,22 °c,"0.0
mm",11%,1013 mb,13 km/h,20 km/h
2010-01-02,03:00,Clear,23 °c,"0.0
mm",15%,1012 mb,14 km/h,25 km/h
2010-01-02,06:00,Partly cloudy,22 °c,"0.0
mm",26%,1012 mb,15 km/h,24 km/h
2010-01-02,09:00,Partly cloudy,25 °c,"0.0
mm",42%,1014 mb,16 km/h,20 km/h
2010-01-02,12:00,Partly cloudy,26 °c,"0.0
mm",28%,1012 mb,15 km/h,23 km/h
2010-01-02,15:00,Partly cloudy,26 °c,"0.0
mm",44%,1011 mb,14 km/h,24 km/h
2010-01-02,18:00,Partly cloudy,24 °c,"0.0
mm",59%,1012 mb,12 km/h,23 km/h
2010-01-02,21:00,Partly cloudy,24 °c,"0.0
mm",37%,1014 mb,9 km/h,16 km/h
2010-01-03,00:00,Partly cloudy,23 °c,"0.0
mm",26%,1013 mb,11 km/h,19 km/h
2010-01-03,03:00,Partly cloudy,23 °c,"0.0
mm",48%,1013 mb,14 km/h,23 km/h
2010-01-03,06:00,Partly cloudy,24 °c,"0.0
mm",27%,1013 mb,11 km/h,16 km/h
2010-01-03,09:00,Partly cloudy,26 °c,"0.0
mm",31%,1015 mb,15 km/h,18 km/h
2010-01-03,12:00,Partly cloudy,27 °c,"0.0
mm",27%,1012 mb,18 km/h,28 km/h
2010-01-03,15:00,Sunny,26 °c,"0.0
mm",15%,1011 mb,17 km/h,29 km/h
2010-01-03,18:00,Clear,24 °c,"0.0
mm",10%,1012 mb,17 km/h,26 km/h
2010-01-03,21:00,Clear,23 °c,"0.0
mm",21%,1013 mb,17 km/h,25 km/h
2010-01-04,00:00,Clear,23 °c,"0.0
mm",23%,1012 mb,15 km/h,25 km/h
2010-01-04,03:00,Clear,22 °c,"0.0
mm",13%,1012 mb,12 km/h,22 km/h
2010-01-04,06:00,Clear,23 °c,"0.0
mm",16%,1013 mb,9 km/h,14 km/h
2010-01-04,09:00,Sunny,26 °c,"0.0
mm",5%,1013 mb,13 km/h,19 km/h
2010-01-04,12:00,Sunny,27 °c,"0.0
mm",5%,1011 mb,18 km/h,21 km/h
2010-01-04,15:00,Sunny,26 °c,"0.0
mm",5%,1010 mb,15 km/h,20 km/h
